,time,ground_force1_pt1y,ground_force1_pt1x,ground_force2_pt1y,ground_force2_pt1x,ground_force1_pt2x,ground_force1_pt2y,ground_force1_pt2z,ground_force2_pt2x,ground_force2_pt2y,ground_force2_pt2z
142,0.142,0.340616,-1.096944,0.349434,-0.744273,35.45848705324213,4.078717208970444,451.2608188784122,-39.54633674058876,3.909406786288227,420.1282437846895
143,0.143,0.34075,-1.096564,0.350302,-0.743952,35.452496283257254,4.1237192805469345,451.0737699999236,-39.515920108049514,3.927829859330626,419.9041765659697
144,0.144,0.340792,-1.097236,0.349851,-0.744551,35.44552528905805,4.16969364507728,450.88508318510776,-39.486419682366424,3.944327943837328,419.67972441922615
145,0.145,0.34121,-1.096659,0.349806,-0.744753,35.439868159230045,4.217103559659416,450.6948225293953,-39.45652138749589,3.960627190684343,419.45490686200094
146,0.146,0.34031,-1.096994,0.350516,-0.745308,35.43335691562699,4.264249417838674,450.5030531493322,-39.4269779582697,3.977078029128971,419.2297416380479
147,0.147,0.340909,-1.097732,0.349743,-0.745229,35.426493520158516,4.31394174343906,450.3098411454641,-39.39680493742776,3.991444165437842,419.00424468698384
148,0.148,0.340367,-1.096618,0.350099,-0.745179,35.421525881665225,4.363533185150195,450.1152535637665,-39.3666676728656,4.006339581345274,418.77843011619535
149,0.149,0.34061,-1.096794,0.349695,-0.744293,35.41530486287419,4.414941511886084,449.91935835562913,-39.33570331510223,4.019877532344573,418.552310175057
150,0.15,0.340889,-1.097124,0.349713,-0.745983,35.40895928742791,4.467408608931567,449.7222243364074,-39.307325814973524,4.033242545814919,418.3258952315116
151,0.151,0.340712,-1.095746,0.349189,-0.745424,35.4043439469793,4.520432474892055,449.52392114255457,-39.27671192155646,4.045473418986529,418.0991937510623
152,0.152,0.340072,-1.096193,0.349652,-0.743622,35.397918608345336,4.573995219461779,449.3245191873526,-39.24486918032946,4.058102216746805,417.8722122782232
153,0.153,0.339954,-1.096359,0.350277,-0.744814,35.39178202071207,4.62907006202531,449.12408961526006,-39.21603593157363,4.070307269290133,417.6449554204715
154,0.154,0.340076,-1.097878,0.35011,-0.744715,35.38429292288347,4.685362331106513,448.9227042548986,-39.18592830901978,4.081138169614004,417.4174258347409
155,0.155,0.339306,-1.09886,0.349885,-0.745853,35.37733405056633,4.74172646467829,448.72043557070367,-39.15707523874558,4.091332770864055,417.1896242164951
156,0.156,0.339893,-1.098667,0.34961,-0.745019,35.37153614368344,4.800397011345648,448.5173566132625,-39.12626843832669,4.100903183530452,416.9615492914142
157,0.157,0.340318,-1.096263,0.349839,-0.744732,35.36792795370634,4.8598396324138005,448.3135409683708,-39.09602741624537,4.110407772497885,416.7331978097281
158,0.158,0.340108,-1.097604,0.349685,-0.745337,35.36054625099925,4.9195651048523334,448.109062704841,-39.06669747155982,4.118964153951248,416.5045645432226
159,0.159,0.339743,-1.098748,0.34983,-0.744951,35.3533258321649,4.980036325165832,447.9039963210959,-39.036395693836745,4.127259192139093,416.27564228494487
160,0.16,0.339284,-1.097301,0.349083,-0.744999,35.348653527383405,5.0412963141808715,447.69841669058894,-39.00654696335007,4.134106995996891,416.0464218516301
161,0.161,0.339896,-1.09659,0.351005,-0.74539,35.34319520773501,5.10449122275876,447.49239900609183,-38.97705995154823,4.1430739156322725,415.8168920888699
